Variable,Interpretation,Distribution,Param1,Param2,Param3,Notes
hasAuthor,Does the map have an author,Bernoulli,0.95,,,
hasOrganization,Does the map have an institution associated with it,Bernoulli,0.95,,,
hasTitle,Does the map have a title associated with it,Bernoulli,0.9,,,More likely to correctly describe the map with metadata
hasDescription,Does the map have a description associated with it,Bernoulli,0.9,,,More likely to correctly describe the map with metadata
usedTaxonIDNumber,Did the map create use the search by name function or the browse function to arrive at the map configuration,Bernoulli,0.2,,,Likely to search by exact name
configdata.state.openSite,Is the site details panel open,Bernoulli,0.4,,,Likely to identify specific sites of interest
configdata.state.layout.westPanelIsOpen,Is the site details panel open,Bernoulli,0.3,,,
configdata.state.layout.southPanelIsOpen,Is the bottom timeline panel open,Bernoulli,0.4,,,Likely to close this panel to free screen real estate
configdata.state.layout.eastPanelIsOpen,Is the right dashboard panel open,Bernoulli,0.65,,,Expected to use filters
configdata.state.doSearch,Does the map come preconfigured with data,Bernoulli,0.2,,,"Not likely to share maps without data on them, but once in awhile, someone may share to advertise the tool"
configdata.state.map.zoom,What zoom level is the map at,Gamma,6,2,,More interest in specific study-site regions
configdata.config.timer.totalElapsed,How much time has elapsed since the session started?,Gamma,600,180,,Spends a significant amount of time with the interface
configdata.config.timer.loadElapsed,How much time has elapsed since loading data onto the map,Gamma,500,120,,Spends a significant amount of time with the interface
configdata.config.layout.eastPanelSize,Percentage of screen covered by dashboard,Binomial,0.5,,,
configdata.config.layout.westPanelSize,Percentage of screen covered by site details,Binomial,0.3,,,
configdata.config.layout.southPanelSize,Percentage of screen covered by bottom timeline,Binomial,0.4,,,
usedAgeFilter,Does the configuration use the time filter,Bernoulli,0.7,,,
usedLatitudeFilter,Does the configuration use the latitude filter,Bernoulli,0.3,,,
usedAbundanceFilter,Does the configuration use the abundance filter,Bernoulli,0.2,,,
usedPIFilter,Does the configuartion use the investigator filter,Bernoulli,0.2,,,
usedRecordTypeFilter,Does the configuration use the record type filter?,Bernoulli,0.2,,,
